company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
Konnectingtree,Data Engineer,Remote,"Greetings from KonnectingTree!
We are looking for a Data Engineer for one of our clients. This is a remote position with an Implementation partner. AWS Certification Mandatory.
Data Engineer with AWS Experience
Experience with PySpark/Spark
Experience in Python
Able to work independently
Able to work with the business team directly
Interested candidates kindly share your updated resume with mythili.saravanan@konenctingtree.com. Please reach me at 952-679-2916.
Job Type: Contract
Salary: $45.00 - $50.00 per hour
Experience level:
5 years
Schedule:
8 hour shift
Experience:
AWS Data Engineer: 5 years (Required)
Python: 5 years (Required)
PySpark: 5 years (Required)
Work Location: Remote
Speak with the employer
+91 952-679-2916
Show Less
Report",$45.00 - $50.00 Per hour,1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
infinity quest,DATA ENGINEER,"Seattle, WA","At least 3 years of Data Engineer experience is required preferably in a cloud Environment.
You should have at least 4 years of coding experience in python/java/ Scala and open source packages with at least 2 years of experience with Databases(SQL/NOSQL etc).
Experience with large scale Distributed databases like redshift/Snowflake is a big Plus.
You should have Experience with different aspects of data systems including database design, data modeling, performance optimization, SQL etc.
Some Experience with building data pipelines and Orchestration(Airflow ,ADF,glue etc) is required.
Strong communication skills (able to explain concepts to non-technical audiences as well as peers)
Self-starter who is highly organized, communicative, quick learner, and team-oriented
Technology Requirements:
Python/Java or Scala , SQL and Airflow. Cloud experience AWS/Azure
Daily tasks:
Developing, executing, monitoring and troubleshooting Data pipelines and workflows in our cloud environment.
Work on Data Lake/DW/DQ and other framework related items
Team and cross functional collaboration as needed.
Preferred background/prior work experience:
3 years of DE expertise building data pipelines and working in a DW/Data lake Cloud based environment
Job Type: Contract
Salary: $65.00 per hour
Compensation package:
Hourly pay
Experience level:
8 years
Schedule:
Day shift
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: On the road
Show Less
Report",$65.00 Per hour,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,2006,Unknown / Non-Applicable
Barracuda Networks Inc.,Data Engineer,"Chelmsford, MA","Job ID: 23-579

Come Join Our Passionate Team! At Barracuda, we make the world a safer place. We believe every business deserves access to cloud-enabled, enterprise-grade security solutions that are easy to buy, deploy, and use. We protect email, networks, data and applications with innovative solutions that grow and adapt with our customers’ journey. More than 200,000 organizations worldwide trust Barracuda to protect them — in ways they may not even know they are at risk — so they can focus on taking their business to the next level.
We know a diverse workforce adds to our collective value and strength as an organization. Barracuda Networks is proud to be an Equal Opportunity Employer, committed to equal employment opportunity and equitable compensation regardless of race, gender, religion, sex, sexual orientation, national origin, or disability.
Envision yourself at Barracuda
We currently have an exciting new position open for a Data Engineer. This person will assist in driving technology innovation for engineering projects and work on architecture of AWS, Elastic and Kubernetes. They will also work closely with the Technology Architect to create and drive the Architecture Review Board.
What you’ll be working on
Determine internal / external customer data needs and identify system specifications
Analyze the needs of large systems and breaking them down into smaller manageable parts
Responsible for designing the journey of data from various sources to the database and everything in between
Plan and design the structure of data, brainstorm with team
Analyze best technology products and systems for internal teams
Help provide build vs buy decisions on data architecture
Communicate data requirements to engineers; explain data architecture to them and provide assistance throughout SDLC
Choose / maintain suitable software, hardware and integration methods
Help resolve technical problems as and when they arise
Review testing procedures to ensure data performant and error free
Ensure that database satisfy quality standards and procedures. Setup such standards.
Work with senior IT personnel to devise plans for future IT requirements of the organization
Produce progress reports on key infrastructures - Elastic and Data Pipelines
What you bring to the role
Bachelor Degree or Post Graduate in Computer Science, or relevant work experience
5+ years of experience in an Engineering / Operations heavy organization
1+ years of experience as a Data Analysis and Data Design responsible for data architecture of a SaaS application
Experience in understanding and designing data sharding in a distributed database
Some Hands-on experience in software development and system administration
Knowledge of strategic IT solutions
Familiarity with programming languages like JavaScript or Java or Python
Familiarity with Linux OS and Windows alike
Experience in cloud computing and cloud Technologies (AWS, GCP, Azure)
Excellent communication skills – you should be adept at listening to, understanding, and explaining key concepts to managerial and technical resources.
Good Anticipation and problem-solving skills
Ability to prioritize and manage time – responsible for multiple streams of work at the same time
Relationship building - Ability to form a good rapport with internal and external stakeholders
In-depth knowledge about quality standards and security best practices

Preferred Skills:
Expert level Understanding of Elastic eco system - Elasticsearch, Logstash, Kibana, Filebeats
Understanding of secure tunnel communication using VPN
Experience designing data at scale
AWS experience is preferred in Cloud Technologies
What you’ll get from us
A team where you can voice your opinion, make an impact, and where you and your experience are valued. Internal mobility – there are opportunities for cross training and the ability to attain your next career step within Barracuda.
High-quality health benefits
Retirement Plan with employer match
Career-growth opportunities
Flexible Time Off and Paid Time Off benefits
Volunteer opportunities
#LI-Remote
Show Less
Report",$86T - $1L,1001 to 5000 Employees,Company - Private,Information Technology,Computer Hardware Development,2004,$100 to $500 million (USD)
Glow Networks,Data Engineer,"Dallas, TX","Data Engineer
Pay Scale: $73 p/h, W2, no benefits
Duration: Full Time/Contract
Status: US Citizen or Green Card only
Reports To: Project Manager
Working Hours: Normal business hours
Work Location: Onsite, Customer Premises, Vancouver, WA 98683

Summary/Objective:
Glow Networks is a telecommunication staffing and consulting company based in Dallas, TX. We are seeking a Data Engineer, to work in Vancouver, WA 98683 location.

The data engineering role is a team member that will help enhance and maintain the Instant Ink Business Intelligence system. You will drive work you're doing to completion with hands-on development responsibilities, and partner with the Data Engineering leaders to implement data engineering pipelines to build solution to help provide trusted and reliable data to customers.

Responsibilities
Design and implement distributed data processing pipelines using Spark, Python, SQL and other tools and languages prevalent in the Big Data/Lakehouse ecosystem.
Analyzes design and determines coding, programming, and integration activities required based on general objectives.
Reviews and evaluates designs and project activities for compliance with architecture, security and quality guidelines and standards
Writes and executes complete testing plans, protocols, and documentation for assigned portion of data system or component; identifies defects and creates solutions for issues with code and integration into data system architecture.
Collaborates and communicates with project team regarding project progress and issue resolution.
Works with the data engineering team for all phases of larger and more-complex development projects and engages with external users on business and technical requirements.
Collaborates with peers, engineers, data scientists and project team.
Typically interacts with high-level Individual Contributors, Managers and Program Teams on a daily/weekly basis.
What you bring :
Bachelor's or Master's degree in Computer Science, Information Systems, Engineering or equivalent.
6+ years of relevant experience with detailed knowledge of data warehouse technical architectures, infrastructure components, ETL/ ELT and reporting/analytic tools.
3+ years of experience with Cloud based DW such as Redshift, Snowflake etc.
3+ years’ experience in Big Data Distributed ecosystems (Hadoop, SPARK, Hive & Delta Lake)
3+ years experience in Workflow orchestration tools such as Airflow etc.
3+ years’ experience in Big Data Distributed systems such as Databricks, AWS EMR, AWS Glue etc.
Leverage monitoring tools/frameworks, like Splunk, Grafana, CloudWatch etc.
Experience with container management frameworks such as Docker, Kubernetes, ECR etc.
3+ year’s working with multiple Big Data file formats (Parquet, Avro, Delta Lake)
Experience working on CI/CD processes such as Jenkins, Codeway etc. and source control tools such as GitHub, etc.
Strong experience in coding languages like Python, Scala & Java
Knowledge and Skills
Fluent in relational based systems and writing complex SQL.
Fluent in complex, distributed and massively parallel systems.
Strong analytical and problem-solving skills with ability to represent complex algorithms in software.
Strong understanding of database technologies and management systems.
Strong understanding of data structures and algorithms
Database architecture testing methodology, including execution of test plans, debugging, and testing scripts and tools.
Strong analytical and problem-solving skills.
Nice to Have
Experience with transformation tools such as dbt.
Have experience in building realtime streaming data pipelines
Experience in pub/sub streaming technologies like Kafka, Kinesis, Spark Streaming etc

.EEO Statement: Glow Networks. provides equal opportunity in all of our employment practices to all qualified employees and applicants without regard race, color, religion, sex (including gender identity, sexual orientation, and pregnancy), national origin, age, disability or genetic information and other characteristics that are protected by applicable law.

Other Duties: Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. This description reflects management’s assignment of essential functions, it does not proscribe or restrict the tasks that may be assigned. Duties, responsibilities, and activities may change at any time with or without notice.
Show Less
Report",$73.00 Per hour,51 to 200 Employees,Subsidiary or Business Segment,Information Technology,Information Technology Support Services,2003,$5 to $25 million (USD)
Jconnect Infotech Inc.,Sr. Data Engineer,"Edison, NJ","Position – Senior Data Engineer
Location – Edison, NJ
Duration – Contract C2C/W2
Job Description:
Big Data (spark/kafka)
PL/SQL
Druid
GKE (Google Kubernetes Engine)
Java development experience – not into coding
Take Druid ingestion and check if everything is going well.
How queries are behaving in prod, optimize it.
Job Type: Contract
Pay: $43.82 - $66.67 per hour
Schedule:
8 hour shift
Ability to commute/relocate:
Edison, NJ 08817: Reliably commute or planning to relocate before starting work (Required)
Experience:
Druid: 1 year (Required)
SQL: 5 years (Required)
Big data: 4 years (Required)
Work Location: One location
Show Less
Report",$43.82 - $66.67 Per hour,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gridiron IT,Data Engineer,"Washington, DC","Seeking a Data Engineer local to Washington, DC.
Active Top Secret/SCI Clearance Required
Duties
Develop and design data pipelines to support an end-to-end solution.
Develop and maintain artifacts i.e., schemas, data dictionaries, and transforms related to ETL processes.
Integrate data pipelines with AWS cloud services to extract meaningful insights.
Manage production data within multiple datasets ensuring fault tolerance and redundancy.
Design and develop robust and functional dataflows to support raw data and expected data.
Provide Tier 3 technical support for deployed applications and dataflows.
Collaborate with the rest of data engineering team to design and launch new features. Includes coordination and documentation of dataflows, capabilities, etc.
Skills
Amazon Web Services (AWS)
Database Administration
Data Engineering
ETL Architecture and Development
End-to-End Processes
API Development
Extract, Transform, and Load (ETL)
Data Pipeline
Tier 3 Technical Support
Preferred
Database administration and development experience will be a plus for consideration.
Experience with cloud message APIs and usage of push notifications.
Keen interest in learning and using the latest software tools, methods, and technologies to solve real world problem sets vital to national security.
Job Types: Full-time, Contract
Pay: $65.00 - $75.00 per hour
Benefits:
401(k) matching
Dental insurance
Health insurance
Health savings account
Life insurance
Referral program
Retirement plan
Vision insurance
Experience level:
4 years
Schedule:
8 hour shift
Monday to Friday
Overtime
Ability to commute/relocate:
Washington, DC: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data Engineer: 3 years (Preferred)
AWS: 2 years (Preferred)
ETL: 3 years (Preferred)
Security clearance:
Top Secret (Required)
Work Location: In person
Show Less
Report",$65.00 - $75.00 Per hour,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2017,Unknown / Non-Applicable
Pendrick Capital Partners,Data Engineer,Remote,"Job Description
Company Overview
Pendrick Capital Partners is a leader in helping U.S. healthcare providers manage their receivables. With a core belief of practicing a patient-first mindset, Pendrick is the best-in-class revenue cycle management partner with over 10-years of experience purchasing outstanding receivables. Pendrick’s recognized compliance program offers an unparalleled degree of risk reduction for our healthcare industry partners while increasing returns on patient responsibility balances.
As a Data Scientist at Pendrick Capital Partners, you’ll help us make better and faster decisions than ever before. We use the latest in cloud, analytical, and machine learning technologies to unlock big opportunities for the company’s executives. We have big goals for the next few years, and we could use your help to design, architect, and implement solutions that meet our growing needs for rapid and cutting-edge analytics and forecasting.
This role is for you if:
You have built machine learning models through all phases of development, from design through training, evaluation, validation, and implementation and can explain your decisions in a simple and concise way to non-technical experts,
You know how to strike the right balance between sharing your expertise and listening to others’ ideas, and
You love to learn how to apply cutting-edge technologies in a way that drives value for business decisions and can leverage several technologies and languages — SQL, R,
AWS, Spark, and more — to reveal the insights hidden within huge volumes of transaction data,
The Ideal Candidate is:
A big data wrangler. You have the skills to retrieve, combine, and analyze data from a variety of sources and structures, preferably using Spark and other open source technologies.
Technical. You’ve worked with open-source languages, you know how to develop reusable code, and you are passionate about continuing to improve. You have hands-on experience developing data science solutions using open-source tools and cloud computing platforms.
Statistically-minded. You’ve built models, validated them, and monitored them post- deployment. You know how to interpret a ROC curve and partial dependence plots. You have experience with multivariate linear and nonlinear models as well as unsupervised approaches including clustering, classification, and anomaly detection.
Forward-thinking. You know how to promote a culture of technical excellence and look for opportunities to reuse robust, resilient solutions wherever possible.
Basic Qualifications:
Bachelor’s Degree plus 2 years of experience in data analytics in the workplace, or
Master’s Degree plus 1 year in data analytics in the workplace, or PhD
At least 1 year of experience in open source programming languages for large-scale data analysis (preferably R)
At least 1 year of experience with machine learning
At least 1 year of experience with relational databases
Languages: Python & SQL required. C++ and R
Preferred Qualifications:
Master’s Degree in “STEM” field (Science, Technology, Engineering, or Mathematics) plus 3 years of experience in data analytics, or Ph.D. in “STEM” field (Science,
Technology, Engineering, or Mathematics)
At least 1 year working in financial, healthcare, or collections services
At least 1 year of experience working with AWS
At least 2 years experience in Spark/Databricks/Scala or R
At least 2 years experience with machine learning
At least 3 years experience with SQL
Git, Docker, Serverless, Lambda, ECS, AWS CLI, Boto3
Experience with consumer finance data is a plus
For more information about Pendrick Capital Partners, please visit our website at https://www.pendrickcp.com/
Job Type: Full-time
Pay: $100,000.00 - $170,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Flexible schedule
Flexible spending account
Health insurance
Health savings account
Life insurance
Paid time off
Referral program
Vision insurance
Compensation package:
Performance bonus
Experience level:
2 years
Schedule:
Monday to Friday
Application Question(s):
How many years of relational database experience do you have?
Experience:
AWS: 1 year (Preferred)
SQL: 1 year (Preferred)
C++: 1 year (Preferred)
Work Location: Remote
Show Less
Report",$1L - $2L,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ComResource,Senior Data Engineer,"Columbus, OH","ComResource is looking for a Senior Data Engineer.

The position plays a key role in developing and maintaining enterprise analytics deliverables, including but not limited to operational data stores, data integrations, and reports. The ideal candidate will be working in our mixed technology environment to deliver data products providing decision support for businesses and customers. As part of a highly collaborative team, the role will interact with technical and business resources within and outside of IT organization. The ideal candidate is a committed, creative, self-motivated, and passionate technologist who is interested in practicing current skills and learning new ones.

Responsibilities:
Partner with Business Stakeholders, Business Analysts, Data Engineers, Developers to design enterprise data warehouse components
Provide estimations, schedules, and regular and timely updates to project managers & senior management as needed
Validate proposed design for accuracy and completeness of business use cases
Develop data integration and transformation solutions to meet the input needs of the models
Develop and support batch jobs
Perform unit & regression testing
Perform code/peer reviews to ensure adherence to established design & development standards
Collaborate with development and quality assurance teams for testing and product quality improvements as needed
Produce deployment scripts, checklists, playbook & operations runbook in accordance with SDLC & change management requirements
Take measures to ensure adherence to committed service level agreements
Monitor the scheduled jobs & performance of the platform for smooth operation
Independently and with support from other developers, troubleshoot and fix issues that arise with data and/or processes
Essentials:
Bachelor’s degree in related field (prefer CS major)
10+ years of software development experience
5+ years of development experience in Microsoft BI tools such as SQL Server, SSIS, SSAS and SSRS
5+ years of experience in RDBMS design and development. Must demonstrate a clear mastery of the logical and physical database design (for both transactional and data warehouse) and data normalization concepts
3+ years of experience in Azure using Data Factory, Databricks & ADLS
Experience working in visual studio development environment and with using DevOps platforms for code management and deployment using CI/CD techniques
Familiarity with SDLC and agile methodologies
Experience in source control tools such as TFS or Git
Experience in communicating with users, other technical teams, and management to collect requirements, identify tasks, provide estimates, and meet production deadlines
Experience with professional software engineering best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations
Understand and work in an Agile development environment
Desired:
Experience in designing & building BI Reporting solutions, preferably using Power BI
System and networking fundamentals
Knowledge/experience in Education or Aviation industry
Show Less
Report",$95T - $1L,201 to 500 Employees,Company - Private,Information Technology,Information Technology Support Services,1991,$25 to $50 million (USD)
DataPattern,Sr. Data Engineer,"Los Angeles, CA","Responsibilities
● Contribute to the design and growth of our Data Products and Data Warehouses around Engagement and Retention Analytics and Data Science
● Design and develop scalable data warehousing solutions, building ETL pipelines in Big Data environments (cloud, on-prem, hybrid)
● Our tech stack includes Hadoop, AWS, Snowflake, Spark and Airflow and languages include Python, Scala
● Help architect data solutions/frameworks and define data models for the underlying data warehouse and data marts
● Collaborate with Data Product Managers, Data Architects and Data Engineers to design, implement, and deliver successful data solutions
● Maintain detailed documentation of your work and changes to support data quality and data governance
● Ensure high operational efficiency and quality of your solutions to meet SLAs and support commitment to our customers (Data Science, Data Analytics teams)
● Be an active participant and advocate of agile/scrum practice to ensure health and process improvements for your team
Basic Qualifications
● 6+ years of data engineering experience developing large data pipelines
● String Python programming skills
● Strong SQL skills and ability to create queries to extract data and build performant datasets
● Hands-on experience with distributed systems such as Spark, Hadoop (HDFS, Hive, Presto, PySpark) to query and process data
Preferred Qualifications
● Experience with at least one major MPP or cloud database technology (Snowflake, Redshift, Big Query)
● Nice to have experience with Cloud technologies like AWS (S3, EMR, EC2)
● Solid experience with data integration toolsets (i.e Airflow) and writing and maintaining Data Pipelines
● Familiarity with Data Modeling techniques and Data Warehousing standard methodologies and practices
● Good Scripting skills, including Bash scripting and Python
● Familiar with Scrum and Agile methodologies
● You are a problem solver with strong attention to detail and excellent analytical and communication skills
Job Type: Full-time
Salary: $65.00 - $75.00 per hour
Experience level:
6 years
Schedule:
Monday to Friday
Experience:
SQL (Preferred)
Informatica (Preferred)
Data warehouse (Preferred)
Work Location: On the road
Speak with the employer
+91 9256270467
Show Less
Report",$65.00 - $75.00 Per hour,1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
Jacobs Levy Equity Management,Quantitative Data Engineer,"Florham Park, NJ","This position is part of our Data Technology team and will help implement, enhance, and manage our quantitative models. Primary responsibilities include researching, designing, coding, testing, and deploying projects while working in a fast-paced environment and improving proprietary data repository and financial data platforms. The Quantitative Data Engineer will work closely with quantitative research and portfolio management professionals to implement new ideas. The successful candidate must possess strong knowledge of financial equity data (e.g., Compustat, Bloomberg, Thomson Reuters), have solid coding skills (in SQL, Python, Julia, and C++), and experience working with large datasets. MS/PhD degree in Computer Science or related field required.


We are seeking a Quantitative Data Engineer to design and implement our proprietary quantitative investment systems. You will be a key player in the Technology team and will research, design, code, test and deploy projects while working in a fast-paced environment.

Responsibilities include:
Implement, enhance, and manage quantitative models
Design and improve proprietary data repository and financial data platforms
Automate and support the Extract, Transform, and Load (ETL) processes from various market data vendors
Develop and manage reporting and performance analytics platforms



Requirements include:
MS/PhD in Computer Science, Engineering, Statistics, or related discipline with excellent academic credentials
Strong knowledge of financial equity data, a plus with experience in Bloomberg, Thomson Reuters, Compustat, and CapIQ data
Broad knowledge of database concepts with proficiency in SQL and stored procedures, preferably with Microsoft SQL Server
2+ years of solid coding experience in Python, Julia, C++, C#
Experience in processing large and complex datasets
An advanced knowledge of math and statistics

For immediate and confidential consideration, please email your cover letter and resume to careers@jlem.com. Please indicate the position for which you are applying.
Equal Opportunity Employer
Show Less
Report",$88T - $1L,1 to 50 Employees,Company - Private,Finance,Investment & Asset Management,#N/A,$5 to $25 million (USD)
Xiar tech inc,Senior Data Engineer,"Dallas, TX","· 5+ Years’ experience in Data Engineering
· 1 year experience with Nexla or similar data ingestion & engineering tools
· 4+ years’ experience in SQL/SnowSQL
· 2+ Years’ thorough experience in Python coding and packages
· 4+ years of overall Data Integration experience with 2+ experience in Data Engineering.
· 2+ years’ experience in large volume File processing with different types and formats
· Experience in Orchestration Tools - Airflow
· Understanding of dimensional and relational data modeling.
· Understanding of BI/DW development methodologies.
Job Types: Full-time, Contract
Salary: $42.96 - $60.84 per hour
Schedule:
8 hour shift
Day shift
Ability to commute/relocate:
Dallas, TX: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: One location
Show Less
Report",$42.96 - $60.84 Per hour,1 to 50 Employees,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
Violet Ink,Data Engineer,"Newark, NJ","Key Job Responsibilities
· Analyze data needs and objectives within the broader journey.
· Source, analyze and organize raw data, prepare data for transformation and consumption.
· Identify ways to improve data governance, reliability, efficiency, and quality.
· Build applications ensuring that the code follows latest coding practices and industry standards.
· Build using modern design patterns and architectural principles.
· Ensure developed solutions remain compliant with all applicable Prudential standards.
· Solve complex problems and provides new perspective on existing problems.
· Develop through collaboration and deliver application component solutions.
· Develop high quality, well documented, and efficient code supporting testing and automation.
· Support product owner in defining future stories and tech lead in defining technical designs.
Competencies – Knowledge, Skills, Abilities
Candidate with 5+ years of experience in a Data Engineer role who has attained a degree in Computer Science, Statistics, Informatics, Information Systems, or another quantitative field. Should have experience using following software/tools:
Big data tools
Relational and NoSQL databases
Data pipeline and workflow management tools
AWS cloud services
Stream processing systems
Object oriented and scripting language
Build processes supporting data transformation, data structure, metadata, dependency, and workload management.
Successful history of manipulating, processing, and extracting value from large, disconnected structured and unstructured datasets.
Advanced working SQL knowledge and experience working with relational databases.
Experience building and optimizing data pipelines, architecture, and data sets.
Working knowledge of message queuing, stream processing, and highly scalable data stores.
Strong project management and organization skills.
Experience supporting and working with agile cross functional teams in a dynamic environment
Background in financial services functions strongly desirable.
Job Type: Contract
Pay: From $60.00 per hour
Schedule:
8 hour shift
Ability to commute/relocate:
Newark, NJ 07107: Reliably commute or planning to relocate before starting work (Required)
Experience:
AWS: 5 years (Required)
SQL: 5 years (Required)
No SQL: 1 year (Required)
Work Location: Hybrid remote in Newark, NJ 07107
Show Less
Report",$60.00 Per hour,1 to 50 Employees,Company - Public,Information Technology,Information Technology Support Services,2007,Unknown / Non-Applicable
APLOMB Technologies,Data Engineer,"Princeton, NJ","We are hiring for Training and placement opportunity for our client requirements.
These are W2 roles.
Location: Plainsboro, NJ
Below are the benefits that you will get from us
- Training and mock interview support
- Placement assistant
- H1 Sponsorship
- STEM extension support
- Accommodation support for in class training
- Will provide you on job support
Job Types: Full-time, Contract
Salary: $70,000.00 - $75,000.00 per year
Experience level:
8 years
Schedule:
8 hour shift
Ability to commute/relocate:
Princeton, NJ 08540: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: One location
Show Less
Report",$70T - $75T,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,#N/A,$1 to $5 million (USD)
"AGM Tech Solutions, LLC",Data Engineer,"Alpharetta, GA","We have an excellent 6-month contract-to-hire opportunity with our Global Leader client.
Candidate must be local to Alpharetta GA (Hybrid Flexibility) - 3 days a week on-site.
Basic
Work experience with ETL, Data Modeling, and Data Architecture.
Experience with Big Data technologies such as Hadoop/Hive/Spark.
Skilled in writing and optimizing SQL.
Experience operating very large data warehouses or data lakes.
Preferred
Experience in designing and implementing highly performant data ingestion pipelines from multiple sources using Apache Spark and/or Azure Databricks
Show efficiency in handling data - tracking data lineage, ensuring data quality, and improving discoverability of data.
Integrating end-to-end data pipeline to take data from source systems to target data repositories ensures the quality and consistency of data is always maintained.
Knowledge of Engineering and Operational Excellence using standard methodologies.
Comfortable using PySpark APIs to perform advanced data transformations.
Familiarity with implementing classes with Python.
Summary
Design, build and operationalize large scale enterprise data solutions and applications using one or more of AWS data and analytics services in combination with 3rd parties - Spark, EMR, RedShift, Lambda, Glue
Design and build production data pipelines from ingestion to consumption within a big data architecture, using Java, and Python.
Design and implement data engineering, ingestion, and curation functions on AWS cloud using AWS native or custom programming.
Job Type: Contract
Pay: $70.00 per hour
Benefits:
401(k)
Flexible schedule
Paid time off
Vision insurance
Schedule:
5x8
8 hour shift
Ability to commute/relocate:
Alpharetta, GA 30005: Reliably commute or planning to relocate before starting work (Required)
Experience:
Machine learning: 2 years (Required)
Work Location: One location
Show Less
Report",$70.00 Per hour,51 to 200 Employees,Company - Private,Human Resources & Staffing,HR Consulting,2018,$5 to $25 million (USD)
Plaxonic,Azure Data Engineer,"Louisville, KY","Experience in developing applications on Microsoft Azure Platform using Features like Cloud Services, Web Role, Worker Role, Azure Web App, Azure API App, Azure Storage, Azure SQL, Azure Functions etc - Experience with Micro-services architecture - Experience in deploying Micro-services in Azure Service fabric and AKS - Hands-on experience in Databases like MS SQL and No SQL Databases - Responsible for developing application and services for and using Azure Cloud Services - Responsible for taking Technology decisions for the project - Understand business requirements and technical limitations - Participating in the complete development life cycle - Coded Unit testing achieving respective unit test coverageTalent
Job Type: Contract
Salary: $55.00 - $60.00 per hour
Experience level:
8 years
Schedule:
8 hour shift
Experience:
Azure: 8 years (Required)
Azure Logic Apps: 5 years (Required)
Work Location: On the road
Show Less
Report",$55.00 - $60.00 Per hour,51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,2013,$1 to $5 million (USD)
Gopuff,Principal Data Engineer,"Independence, KS","Gopuff is seeking a Principal Data Engineer to join its Data Engineering team. This individual will play a major role in shaping the team’s technical direction, designing and implementing the data architecture to enable analytics, data science, and machine learning at scale. The ideal candidate will also serve as a mentor to other data engineers, investing in the team’s development together. This position is a hands-on engineering role, with the core focus being on developing and deploying production-grade code.

#LI-Remote
Responsibilities
Takes a hands-on role at piloting and developing tools in addition to enhancing existing platforms that power Gopuff’s data teams
Architect and implement large-scale data processing systems that enable analytics, data science, and machine learning in a multi-cloud environment
Develop best practices for data collection, storage, and processing that impact company-wide data strategy across Gopuff’s data lakes and data warehouses
Partner with software and analytics engineering teams to establish data contracts to improve data quality at every stage of the data lifecycle
Participate in design and architectural review sessions with data engineers and software engineering partners
Conduct code reviews and knowledge-sharing sessions across data engineering and partner teams
Collaborate with engineering and product leadership to translate business requirements into technical solutions
Partner with engineering teams to model foundational event schemas
Qualifications
8+ years of experience in a data engineering role building end-to-end ETL/ELT pipelines
Experience building batch data pipelines using DAG-based tools such as Dagster or Airflow
Experience developing real-time data pipelines using frameworks such as Apache Beam, Flink, Storm, Spark Streaming, etc.
Experience with data warehouses, data lakes, and their underlying infrastructure
Proficiency in Python, SQL, RESTful API development
Experience with cloud computing platforms such as Azure, AWS
Experience data observability and monitoring tooling such as Monte Carlo, Great Expectations, SodaSQL, Databand, etc.
Experience in producing and consuming topics to/from Apache Kafka, AWS Kinesis, or Azure Event Hubs
Experience with data governance, schema design, and schema evolution
Experience implementing DevOps best practices within the data platform, including solutions for CI/CD, data observability, monitoring, and lineage
Experience with Infrastructure as code tools such as Terraform
Compensation:
Gopuff pays employees based on market pricing and pay may vary depending on your location. The salary range below reflects what we’d reasonably expect to pay candidates. A candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. These ranges may be modified in the future. For additional information on this role’s compensation package, please reach out to the designated recruiter for this role.
Remote - Salary Range (varies based on a cost of labor index for geographic area within United States): USD $152,000 - USD $241,500
Benefits
We want to help our employees stay safe and healthy! We offer comprehensive medical, dental, and vision insurance, optional FSAs and HSA plans, 401k, commuter benefits, supplemental employee, spouse and child life insurance to all eligible employees.*

We also offer*:
Gopuff employee discount
Career growth opportunities
Internal rewards programs
Annual performance appraisal and bonus
Equity program
Not applicable for contractors or temporary employees.

At Gopuff, we know that life can be unpredictable. Sometimes you forget the milk at the store, run out of pet food for Fido, or just really need ice cream at 11 pm. We get it—stuff happens. But that’s where we come in, delivering all your wants and needs in just minutes.

And now, we’re assembling a team of motivated people to help us drive forward that vision to bring a new age of convenience and predictability to an unpredictable world.

Like what you’re hearing? Then join us on Team Blue.

Gopuff is an equal employment opportunity employer, committed to an inclusive workplace where we do not discriminate on the basis of race, sex, gender, national origin, religion, sexual orientation, gender identity, marital or familial status, age, ancestry, disability, genetic information, or any other characteristic protected by applicable laws. We believe in diversity and encourage any qualified individual to apply.
Show Less
Report",$1L - $2L,5001 to 10000 Employees,Company - Private,Transportation & Logistics,Shipping & Trucking,2013,Unknown / Non-Applicable
