id,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
55,"Intuceo
3.9",Azure Data Engineer,Remote,"Job Description: Looking for US Citizens only for Federal Client
Bachelor’s degree in science, engineering or technology.
Minimum 8+ years’ experience in designing, delivering and supporting IT solutions.
Experience in Big data analytics projects and products, business processes and architecture.
Experience in Azure Services like ADF, ADLS, Synapse, Databricks, Azure Monitoring.
Experience in Creating Data Pipelines using Apache Hive, Apache Spark, Apache Kafka.
Experience in Programming languages like Python/Java, ETL is required
Experience working with huge datasets, SQL/NO SQL exposure
Azure Data Engineering Certification is plus
Experience in the Insurance industry is preferred.
Please share the resume and reach out to me on 9042041368
Job Type: Full-time
Salary: Up to $180,000.00 per year
Experience level:
10 years
Schedule:
8 hour shift
Monday to Friday
Experience:
Azure Data Engineer: 10 years (Preferred)
SQL: 5 years (Preferred)
Azure: 3 years (Preferred)
License/Certification:
Azure Data Engineer (Preferred)
Work Location: Remote
Show Less
Report",$2L (Employer Est.),51 to 200 Employees,Unknown,#N/A,#N/A,#N/A,Unknown / Non-Applicable
56,"Ascendion
4.5",Senior Data Engineer,Remote,"Responsibilities:
8+ years professional experience as a data engineer
Strong programming skills (some combination of Python, Java, and Scala preferred)
Experience working with Databricks
Analyzing the data sources, building, and scaling Pipelines & reports to meet the needs of the Analytics team and other engineering teams
As a COSMOS Developer the mandatory technical skills include TSQL, SSIS, SSAS COSMOS SCOPE Scripting, Azure data stack (ADF, SQL Azure, ADL)
Experience with creating and monitoring date pipeline with ADF, Azure analytics services
Great problem-solving skills, understanding proposed data models and alignment with business requirements
Knowledge of C# to understand assembly / Custom packages is desirable
Ability to understand vast amounts of data, identify and fix data issues
Knowledge in data modeling is desirable
Knowledge of data warehousing concepts
Experience writing SQL, structuring data, and data storage practices
Experienced building data pipelines
Knowledge of working with microservices
Qualifications:
A passion for building and running continuous integration pipelines
More than 2 years hands on experience on Azure Services like Databricks, Azure Data Factory, Azure Storage Accounts & Azure Data Lakes and 1 year of experience working with Cosmos DB or any other document based noSQL databases (MongoDB)
More than 3 years of experience in programming knowledge on Python, Scala
Experience with SQL and NOSQL Databases preferred
Preferred:
DevOps – CD/CI Implementations
Framework Development and Automation Techniques
Experience in implementation of Data Catalogue and Data Lake Implementations
Experience in Data Management Solution Development with strong experience in SQL and NoSQL data bases
Job Types: Full-time, Contract
Pay: $60.00 - $70.00 per hour
Benefits:
401(k)
Dental insurance
Flexible spending account
Health insurance
Health savings account
Referral program
Vision insurance
Experience level:
8 years
Schedule:
8 hour shift
Monday to Friday
Application Question(s):
How many years of Cosmos experience do you have?
Work Location: Remote
Show Less
Report",$60.00 - $70.00 Per hour(Employer Est.),1001 to 5000 Employees,Company - Private,Information Technology,Software Development,2022,Unknown / Non-Applicable
57,"GE Healthcare
4.2",Staff Data & Information Engineer - MRI,"Waukesha, WI","Job Description Summary
The Staff Data & Information Engineer is responsible for supporting the MRI Engineering and Product teams across segments by developing data structures and pipelines to support analytics. In this role you will contribute to the development and deployment of modern machine learning, operational research, and statistical methods on parametric, system log, and device history datasets both on the MRI machine and in the cloud.

At GE Healthcare, our passionate people are creating the products, solutions and services our customers need to deliver the best patient care possible.
Job Description
Essential Responsibilities
Provide architectural expertise to horizontal teams across the MRI Engineering team.
Design, build, and maintain data logging structures on the MRI scanner
Design, build, and maintain data pipelines from a data lake to data exploration platform for engineering use
Collaborate with Software Engineers, Hardware Engineers, Systems Engineers and Product Managers to identify and address gaps in MR system monitoring.
Collaborate and learn from peers across GEHC to ensure we leverage best practice and reduce duplicative work.
Work with business and technical leaders to prioritize data needs and define new process improvement opportunities.
Qualifications/Requirements
Bachelor’s degree in Computer Science or “STEM” Majors (Science, Technology, Engineering, and Math) with 6+ years relevant experience
6+ years of experience in Big Data, data warehouse, data modeling, and/or data analytics projects
Strong knowledge of C++ and Python
Experience with extracting and transforming data from large databases (SQL, NoSQL, Elasticsearch, S3, etc.)
Demonstrated skill in data cleaning, data quality assessment, and using analytics for data assessment
Desired Characteristics
Strong knowledge of Cloud solutions (AWS)
Strong knowledge of microservices, REST, Docker, Kafka
Strong knowledge of ETL processes and relevant tech stack to build and maintain complex queries, streaming, and real-time data pipelines.
Previous experience building data architectures and logging services
Experience with machine data (IoT) logging and analytics
Background in health care, pharma, or diagnostic imaging industry
Knowledge of GE HealthCare MR Products
We expect all employees to live and breathe our behaviors: to act with humility and build trust, lead with transparency, deliver with focus and drive ownership – always with unyielding integrity.

Our total rewards are designed to unlock your ambition by giving you the boost and flexibility you need to turn your ideas into world-changing realities. Our salary and benefits are everything you’d expect from an organization with global strength and scale, and you’ll be surrounded by career opportunities in a culture that fosters care, collaboration and support.

#gehealthcare
#LI-EJ1

While GE Healthcare does not currently require U.S. employees to be vaccinated against COVID-19, some GE Healthcare customers have vaccination mandates that may apply to certain GE Healthcare employees.
GE offers a great work environment, professional development, challenging careers, and competitive compensation. GE is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law.
GE will only employ those who are legally authorized to work in the United States for this opening. Any offer of employment is conditioned upon the successful completion of a drug screen (as applicable).
Relocation Assistance Provided: Yes
Apply Now: click Apply Now
Show Less
Report",$92T - $1L (Glassdoor Est.),5001 to 10000 Employees,Company - Public,Healthcare,Healthcare Services & Hospitals,1892,$10+ billion (USD)
58,"Norwin
2.0",Data Engineer,"South San Francisco, CA","Title: Data Engineer or Data Scientist
Location: South San Francisco, CA 94080(Candidate need to be local and be onsite 3 days a week)
Duration: 6+months(W2 Contract)
Client: Genentech
Description
The systems specialist role will be part of the Workplace Digital Insights team which supports making key data-driven decisions for the Real Estate and Workplace Effectiveness(RE&WE) organization. We help this organization’s forward planning strategies for South San Francisco ranging from developing real estate strategies, to campus planning, building investments, occupancy planning and move management.
Our team designs, builds, integrates and operationalizes technology applications that are customized to meet those organizational business needs. We are responsible for the end to end lifecycle of key applications and data streams that feed our Analytics team and Business Operations teams with high quality, well defined data. These data and data streams are critical to those applications and reporting platforms. Important business data originates from real time sensors, Wi-Fi, other databases, and people, then pipelines into storage, validation and then it is combined with other data in cloud storage, processed by software applications, and ends in visualization and decision support.
This specialized role will have to use a wide range of skills to understand business requests, identify the problem and break it into their business process, functional and system components. A clear and critical thinker is required to then bring new potential solutions to fruition, manage and analyze existing pipelines and data.
This role presents a unique opportunity to work with systems developed and maintained by the group as well as within corporate IT environments, multiple vendor systems, our AWS data lake, and all the pipelines in between. This includes working with data from various Internet of Things (IOT) networks and a great opportunity to collaborate and develop new streams and strategies on our horizon. The position must be filled with someone who has sharp critical thinking, combined with excellent project management and coordination skills, having a strong ability to work with both people representing the business people and those supporting roles within the IT organization. Technical skills are also extremely important, especially skills that support understanding SQL queries, database concepts, API’s, AWS/Cloud services, and developing Tableau as well. You’ll be responsible for understanding how real time data from sensors integrates with corporate systems, combined to cloud based data lake, funnels into data science analytics and will end in visualizations.
Responsibilities
● Understands and writes SQL code in Oracle and Redshift databases to support existing data structures, joins, views. Write and optimize new SQL to support new storage needs, reporting needs, and better performance and efficiency
● Makes decisions and solves problems using sound, inclusive reasoning and judgment. Gathers and analyzes information to fully understand a problem and proactively anticipates needs and prioritize action steps.
● Partners and communicates well with internal stakeholders, business partners, and Global IT to understand, define and help deliver technology needs
● Implements vetted strategies developed by the business to achieve technical roadmaps
● Manages project delivery end-to-end, in other cases helping our IT partner stay on project delivery milestones
● Wrangling structured, unstructured and poorly structured data into appropriate data structures.
● Auditing data in databases and/or reports with a goal of improving data quality from systems or data owners
● Identify opportunities to further build out our IoT strategy
● Develops new and supports existing Tableau dashboard platform, including how to improve sql queries and data management for optimal performance in reporting
Experience/Skills/Abilities:
● At least 3 years of experience working as a Systems Integrator, Data Engineer, Software Engineer or similar position demonstrating the ability to design and implement automation, data modeling, data wrangling, data analysis, and data vision solutions to complex problems, processes, and scenarios. Familiarity with common data structures and languages.
● BS Computer Science, Computer/Electrical Engineering, or Math Degree or relevant experience.
● Experience with IoT, cloud computing, distributed data systems
● Strong capabilities in SQL and Tableau, Excel/Google Suite
● Understands AWS platform (Amazon Redshift, S3, EC2, Glue jobs, etc.)
● Friendly and approachable, with strong communication and presentation skills
● Desire to keep current with a challenging and evolving environment
● Team focused and self-motivated. Able to work as part of a coordinated team, yet independently when necessary
● Proven abilities to take initiative and to be innovative; have an analytical mind with a problem-solving aptitude
● Demonstrated ability in leading technology projects
● Demonstrated experience in bridging business requirements and technical development
● Strong communications skills maintaining ties to product developers and stakeholders
● Demonstrated experience with software lifecycle management
Desirable Experience (but not required):
● Experience working with statistical teams and/or data scientists
● Tools/Programming Experience: Python, R, web services, other languages(e.g. Java, C++, scripting languages)
● AWS Certifications and working experience
● Experience with LEAN/KANBAN/SCRUM development methodologies is desirable
Job Type: Contract
Salary: Up to $90.00 per hour
Experience level:
5 years
Schedule:
8 hour shift
Ability to commute/relocate:
South San Francisco, CA 94080: Reliably commute or planning to relocate before starting work (Required)
Experience:
Data Engineer: 4 years (Required)
SQL: 4 years (Required)
Tableau: 2 years (Required)
AWS: 2 years (Preferred)
Work Location: One location
Show Less
Report",$90.00 Per hour(Employer Est.),1 to 50 Employees,Company - Private,Manufacturing,Machinery Manufacturing,#N/A,Unknown / Non-Applicable
59,"Whiz Global LLC
4.0",AWS Data Engineer,"New York, NY","Role: AWS Data Engineer
Duration :Long Term
Location: Lafayette, Louisiana, Connecticut, New York (Day 1 Onsite)
Duties and responsibilities:
1. Candidates would develop applications in AWS - data and analytics technologies including but not limited to Glue, EMR, Lambda, Step Functions, CloudTrail, CloudWatch, SNS, SQS, S3, VPC, EC2, RDS, IAM.
2. Candidates would need to do development using application development by lifecycles, & continuous integration/deployment practices.
3. Working to integrate open source components into data-analytic solutions.
4. Working with vendors to enhance tool capabilities to meet enterprise needs.
5. Willingness to continuously learn & share learnings with others
Required qualifications to be successful in this role:
- Candidate should have Hands-on experience with AWS services such as Glue, EMR, Lambda, Step Functions, CloudTrail, CloudWatch, SNS, SQS, S3, VPC, EC2, RDS, and IAM.
- Proficient in at least one programming language (Python, Scala, Java etc).
- Experience in ETL / Data application development and version control systems such as Git.
- Knowledge of application development lifecycles & continuous integration/deployment practices.
- 5 - 7 years experience delivering and operating large scale, highly visible distributed systems.
- Knowledge of IAC using terraform is preferred.
- Snowflake MPP and graph database experience is preferred but not mandatory.
Skill Set Years of Experience Proficiency LevelAWS services such as Glue, EMR, Lambda, Step Functions, CloudTrail, CloudWatch, SNS, SQS, S3, VPC, EC2, RDS, IAM2+, ExcellentPython/Scala/Java etc Programming
3+, ExcellentTerraform1+, GoodSQL– Simple to Complex SQL analysis
2+, Excellent
Minimum Education Required :
Bachelor's degree in Computer Science or a related discipline, at least eight, typically ten or more years of solid, diverse work experience in IT with a minimum of eight years' experience application program development, or the equivalent in education and work experience.
Job Type: Contract
Salary: $55.00 - $65.00 per hour
Schedule:
8 hour shift
Experience:
AWS: 5 years (Required)
SQL: 3 years (Preferred)
Python: 3 years (Preferred)
Work Location: One location
Show Less
Report",$55.00 - $65.00 Per hour(Employer Est.),1 to 50 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
60,"Tekrek solutions Inc
1.0",Azure Data Engineer,Remote,"Position: Azure Data Engineer
Location: Remote
Duration: 06+ 12 months + Extendable
Job Description:
Candidate with experience as Data Architect, Data Engineering, or any related role to Data solutions.
Candidate should have a proven track record in leading and delivering Azure Data Analytics solutions.
Good experience in Developing Advanced Analytics solutions, Applying Data Visualization.
Strong experience in SQL
Hands-on experience solutioning and implementing analytical capabilities using the Azure Data Analytics platform including, Azure Data Factory, Azure Logic Apps, Azure Functions, Azure Storage, Azure SQL Data Warehouse/Synapse, Azure Data Lake.
Candidate should be capable of supporting in all the phases of Analytical Development from identification of key business questions, through Data Collection and ETL.
Strong knowledge of Data Modelling and Data Design is required for the role.
Job Type: Contract
Benefits:
Dental insurance
Health insurance
Vision insurance
Schedule:
8 hour shift
Experience:
Informatica: 1 year (Required)
SQL: 1 year (Required)
Data warehouse: 1 year (Required)
Azure: 1 year (Required)
Synapse: 1 year (Required)
Pyspark: 1 year (Required)
Data modeling: 1 year (Required)
data design: 1 year (Required)
Work Location: Remote
Show Less
Report",#N/A,Unknown,Company - Public,#N/A,#N/A,#N/A,Unknown / Non-Applicable
61,"Barracuda Networks Inc.
3.8",Data Engineer,"Chelmsford, MA","Job ID: 23-579

Come Join Our Passionate Team! At Barracuda, we make the world a safer place. We believe every business deserves access to cloud-enabled, enterprise-grade security solutions that are easy to buy, deploy, and use. We protect email, networks, data and applications with innovative solutions that grow and adapt with our customers’ journey. More than 200,000 organizations worldwide trust Barracuda to protect them — in ways they may not even know they are at risk — so they can focus on taking their business to the next level.
We know a diverse workforce adds to our collective value and strength as an organization. Barracuda Networks is proud to be an Equal Opportunity Employer, committed to equal employment opportunity and equitable compensation regardless of race, gender, religion, sex, sexual orientation, national origin, or disability.
Envision yourself at Barracuda
We currently have an exciting new position open for a Data Engineer. This person will assist in driving technology innovation for engineering projects and work on architecture of AWS, Elastic and Kubernetes. They will also work closely with the Technology Architect to create and drive the Architecture Review Board.
What you’ll be working on
Determine internal / external customer data needs and identify system specifications
Analyze the needs of large systems and breaking them down into smaller manageable parts
Responsible for designing the journey of data from various sources to the database and everything in between
Plan and design the structure of data, brainstorm with team
Analyze best technology products and systems for internal teams
Help provide build vs buy decisions on data architecture
Communicate data requirements to engineers; explain data architecture to them and provide assistance throughout SDLC
Choose / maintain suitable software, hardware and integration methods
Help resolve technical problems as and when they arise
Review testing procedures to ensure data performant and error free
Ensure that database satisfy quality standards and procedures. Setup such standards.
Work with senior IT personnel to devise plans for future IT requirements of the organization
Produce progress reports on key infrastructures - Elastic and Data Pipelines
What you bring to the role
Bachelor Degree or Post Graduate in Computer Science, or relevant work experience
5+ years of experience in an Engineering / Operations heavy organization
1+ years of experience as a Data Analysis and Data Design responsible for data architecture of a SaaS application
Experience in understanding and designing data sharding in a distributed database
Some Hands-on experience in software development and system administration
Knowledge of strategic IT solutions
Familiarity with programming languages like JavaScript or Java or Python
Familiarity with Linux OS and Windows alike
Experience in cloud computing and cloud Technologies (AWS, GCP, Azure)
Excellent communication skills – you should be adept at listening to, understanding, and explaining key concepts to managerial and technical resources.
Good Anticipation and problem-solving skills
Ability to prioritize and manage time – responsible for multiple streams of work at the same time
Relationship building - Ability to form a good rapport with internal and external stakeholders
In-depth knowledge about quality standards and security best practices

Preferred Skills:
Expert level Understanding of Elastic eco system - Elasticsearch, Logstash, Kibana, Filebeats
Understanding of secure tunnel communication using VPN
Experience designing data at scale
AWS experience is preferred in Cloud Technologies
What you’ll get from us
A team where you can voice your opinion, make an impact, and where you and your experience are valued. Internal mobility – there are opportunities for cross training and the ability to attain your next career step within Barracuda.
High-quality health benefits
Retirement Plan with employer match
Career-growth opportunities
Flexible Time Off and Paid Time Off benefits
Volunteer opportunities
#LI-Remote
Show Less
Report",$86T - $1L (Glassdoor Est.),1001 to 5000 Employees,Company - Private,Information Technology,Computer Hardware Development,2004,$100 to $500 million (USD)
62,"Arthur Grand Technologies Inc
4.8",Azure Data Engineer,"Mount Laurel, NJ","Role: Senior/Lead Azure Data Engineer – On Prem (Onsite role)
Location: Mount Laurel, NJ / Charlotte, NC
Experience: 8-12+ Years
Azure Data Engineer
Job Description:
Must Have:
More than 12 years of IT experience in Datawarehouse
Hands-on data experience on Cloud Technologies on Azure, Synapse, ADF, DataBricks, PySpark
Prior Experience on any of the ETL Technologies like Informatica Power Centre, SSIS, DataStage
Ability to understand Design, Source to target mapping (STTM) and create specifications documents
Flexibility & willingness to work on non-cloud ETL technologies as per the project requirements, though main focus of this role is to work on cloud related projects
Flexibility to operate from client office locations
Able to mentor and guide junior resources, as needed
Banking experience on RISK & Regulatory OR Commercial OR Credit Cards/Retail
Nice to Have:
Any relevant certifications
Thanks
Saranya Ponmudi | Technical Recruiter
Arthur Grand Technologies Inc
44355 Premier Plaza, Suite 110, Ashburn, VA 20147
T: +1 614-500-8416/ +1 703-219-8023
Job Types: Full-time, Contract
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Experience level:
10 years
11+ years
8 years
9 years
Schedule:
8 hour shift
Ability to commute/relocate:
Mt. Laurel, NJ: Reliably commute or planning to relocate before starting work (Required)
Experience:
ETL: 4 years (Preferred)
Azure: 5 years (Preferred)
Data warehouse: 4 years (Preferred)
Work Location: One location
Show Less
Report",$91T - $1L (Glassdoor Est.),1 to 50 Employees,Company - Private,Information Technology,Software Development,2012,$1 to $5 million (USD)
63,"AGM Tech Solutions, LLC
4.8",Data Engineer,"Alpharetta, GA","We have an excellent 6-month contract-to-hire opportunity with our Global Leader client.
Candidate must be local to Alpharetta GA (Hybrid Flexibility) - 3 days a week on-site.
Basic
Work experience with ETL, Data Modeling, and Data Architecture.
Experience with Big Data technologies such as Hadoop/Hive/Spark.
Skilled in writing and optimizing SQL.
Experience operating very large data warehouses or data lakes.
Preferred
Experience in designing and implementing highly performant data ingestion pipelines from multiple sources using Apache Spark and/or Azure Databricks
Show efficiency in handling data - tracking data lineage, ensuring data quality, and improving discoverability of data.
Integrating end-to-end data pipeline to take data from source systems to target data repositories ensures the quality and consistency of data is always maintained.
Knowledge of Engineering and Operational Excellence using standard methodologies.
Comfortable using PySpark APIs to perform advanced data transformations.
Familiarity with implementing classes with Python.
Summary
Design, build and operationalize large scale enterprise data solutions and applications using one or more of AWS data and analytics services in combination with 3rd parties - Spark, EMR, RedShift, Lambda, Glue
Design and build production data pipelines from ingestion to consumption within a big data architecture, using Java, and Python.
Design and implement data engineering, ingestion, and curation functions on AWS cloud using AWS native or custom programming.
Job Type: Contract
Pay: $70.00 per hour
Benefits:
401(k)
Flexible schedule
Paid time off
Vision insurance
Schedule:
5x8
8 hour shift
Ability to commute/relocate:
Alpharetta, GA 30005: Reliably commute or planning to relocate before starting work (Required)
Experience:
Machine learning: 2 years (Required)
Work Location: One location
Show Less
Report",$70.00 Per hour(Employer Est.),51 to 200 Employees,Company - Private,Human Resources & Staffing,HR Consulting,2018,$5 to $25 million (USD)
64,"Zillion Technologies
3.8",Sr. Data Engineer (ETL development),"Richmond, VA","Job Title: Sr. Data Engineer - Hybrid
Location: Richmond Virginia 23060
JOB DESCRIPTION
Position Description
The Senior Data Engineer is a senior technical role in supporting the information management architecture of the Enterprise Data Warehouse solution. The role will be actively responsible for designing the data acquisition, data staging, loading, and transformation into the Enterprise Data Warehouse. This role will be a technical expert and resource collaborating with the Data Architect, Software Engineers, Product Owners, and Project Team to develop and deliver data storage and movement solutions and to organize and oversee the loading of data into the related systems. Additionally, the Senior Data Engineer will bridge gaps related to Business Intelligence functions, supporting the analytics produced by the organization, and providing expertise tying data movement together with data consumption.
Position Accountabilities:
Design and develop complex ETL solutions using data warehouse design best practices
Analyze data requirements, data models, and determine the best methods in extracting, transforming and loading the data into the data staging, warehouse and other system integration projects
Create complex business intelligence reports and data visualizations using tools like Python, Tableau, and PowerBI
Analyze business requirements and outline solutions
Validate code against business and architectural requirements
Create and test prototypes
Troubleshoot applications and resolve defects
Work within an agile framework
Plan, Prioritize and Deliver Resilient, Scalable technical solutions
Communicate ideas in both technical and user friendly language
Update and maintain product documentation
Escalate issues and impediments in a timely manner
Work within established framework and processes (Agile)
Collaboratively work with Agile teams, as well as independently
Perform and coordinate unit and system integration testing when required
Participate in peer programming, mobbing, hackathons, and code reviews as required
Support and occasionally lead business intelligence efforts, data analytics efforts, and data governance/quality efforts.
Position Qualifications:
Education & Experience:
A Bachelor’s Degree or a combination of equivalent work experience
7+ years of previous experience in information technology, preferably within the financial services or other highly-regulated industry
5+ years ETL development experience
3+ years of Business Intelligence, Data Analytics, or Data Science experience
3+ years of experience in an Agile environment
Knowledge of ETL and data warehouse design
Experience using Python for data movement/manipulation
Extensive experience with data dictionaries, data analysis and relational databases
Experience with a business intelligence toolset
Preferred Qualifications:
A Master’s Degree in a technology area of study; preferably in Computer Science, MIS or Analytics.
Knowledge & Skills:
Creative problem solver with excellent communication, leadership and collaboration skills.
Advanced decision making and problem solving skills
Business acumen, knowledge and professionalism
Proactive leadership style and a self-starter and strong attention to detail
A clear and familiar understanding of the concepts and best practices of data warehouse ETL design
Demonstrable expertise with RDBMS or Big Data technology
Foundational Database administration skills; Broad DW skills including Semantic Layer, Basic BI Development and basic data modeling & data analysis
Methodical and structured approach to design and development.
Delivery focused with the ability to prioritize activities.
Flexible team player within a small, multi-disciplinary team.
Job Types: Full-time, Contract
Pay: $70.00 - $80.00 per hour
Experience level:
8 years
Schedule:
8 hour shift
Monday to Friday
Ability to commute/relocate:
Richmond, VA: Reliably commute or planning to relocate before starting work (Required)
Application Question(s):
Work Authorization?
Experience:
ETL development: 5 years (Preferred)
Business Intelligence, Data Analytics, or Data Science: 3 years (Preferred)
Agile environment: 3 years (Preferred)
Work Location: One location
Show Less
Report",$70.00 - $80.00 Per hour(Employer Est.),201 to 500 Employees,Company - Private,Management & Consulting,Business Consulting,#N/A,$5 to $25 million (USD)
65,"Vorys, Sater, Seymour and Pease LLP.
4.1",Senior Data Engineer,"Akron, OH","Precision eControl is all about helping brands better manage their eCommerce presence on Amazon and other online marketplaces. As a Senior Data Engineer, you will be part of a team that creates innovative, cutting edge, one of a kind solutions that are revolutionizing how brands manage online marketplace sales.
Position Summary
The Senior Data Engineer for the Azure infrastructure will be responsible for the day to day operations of a large data warehouse, and will work closely with the business, product team, and the technical staff to ensure alignment to goals and objectives. Utilizing experience with Big Data, this position will drive consensus on designs of stable, reliable and effective dynamic ETL pipelines leveraging Azure Synapse Analytics Pipelines.
Essential Job Functions
Drive consensus on designs of stable, reliable and effective dynamic ETL pipelines leveraging Azure Synapse Analytics Pipelines.
Perform root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Design, implement, and document data load processes from disparate data sources into Azure Synapse Pipelines.
Work with Continuous Integration/Delivery using Azure DevOps and Github.
Provide data management, monitoring, troubleshooting and support to client success
Create various triggers to automate the pipeline in Azure Synapse Analytics Pipelines.
Tune SQL queries in Azure SQL DB, Azure Synapse and solve complex data challenges and deliver insights that help our customers achieve their goals.
Self-organize as part of a small-size scrum team and apply data engineering skills.
Follows industry best practices and meets company’s security and performance and requirements
Knowledge, Skills and Abilities
Minimum three (3) years’ experience with MS SQL/T-SQL
Minimum three (3) years’ experience with Azure SQL
Minimum three (3) years’ experience with Apache Spark (PySpark)
Minimum of three (3) years’ experience with Azure Data Factory or Azure Synapse building dynamic ETL pipelines
Minimum three (3) years' experience building dynamic Spark notebooks in Azure Synapse Spark or Azure Databricks
Minimum three (3) years’ experience with Python
Minimum two (2) years’ experience with a public cloud (AWS, Microsoft Azure, Google Cloud)
Experience working with parquet, json , delta, avro and csv files
In-depth understanding of data management (e.g. permissions, recovery, security and monitoring)
Experience with Data Warehouse Architecture
Strong analytic skills related to working with structured, semi-structured and unstructured datasets.
Excellent analytical and organization skills required
Ability to understand user requirements
Client service mindset
Excellent verbal and written communication skills
Excellent problem solving skills
Familiarity with Agile frameworks a plus
Education and Experience
Bachelor's degree in related discipline or combination of equivalent education and experience
7-10 years of experience in similar field
Precision eControl LLC does not discriminate in hiring or terms and conditions of employment because of an individual’s sex, race, age, religion, national origin, ancestry, color, sexual orientation, gender identity, genetic information, marital status, military/veteran status, disability or any other characteristic protected by local, state or federal law. Precision eControl only hires individuals authorized for employment in the United States.
Show Less
Report",$87T - $1L (Glassdoor Est.),501 to 1000 Employees,Company - Private,Legal,Legal,1909,Unknown / Non-Applicable
66,"APLOMB Technologies
4.4",Data Engineer,"Princeton, NJ","We are hiring for Training and placement opportunity for our client requirements.
These are W2 roles.
Location: Plainsboro, NJ
Below are the benefits that you will get from us
- Training and mock interview support
- Placement assistant
- H1 Sponsorship
- STEM extension support
- Accommodation support for in class training
- Will provide you on job support
Job Types: Full-time, Contract
Salary: $70,000.00 - $75,000.00 per year
Experience level:
8 years
Schedule:
8 hour shift
Ability to commute/relocate:
Princeton, NJ 08540: Reliably commute or planning to relocate before starting work (Required)
Experience:
Informatica: 1 year (Preferred)
SQL: 1 year (Preferred)
Data warehouse: 1 year (Preferred)
Work Location: One location
Show Less
Report",$70T - $75T (Employer Est.),51 to 200 Employees,Company - Private,Information Technology,Information Technology Support Services,#N/A,$1 to $5 million (USD)
67,"Gopuff
3.0",Principal Data Engineer,"Independence, KS","Gopuff is seeking a Principal Data Engineer to join its Data Engineering team. This individual will play a major role in shaping the team’s technical direction, designing and implementing the data architecture to enable analytics, data science, and machine learning at scale. The ideal candidate will also serve as a mentor to other data engineers, investing in the team’s development together. This position is a hands-on engineering role, with the core focus being on developing and deploying production-grade code.

#LI-Remote
Responsibilities
Takes a hands-on role at piloting and developing tools in addition to enhancing existing platforms that power Gopuff’s data teams
Architect and implement large-scale data processing systems that enable analytics, data science, and machine learning in a multi-cloud environment
Develop best practices for data collection, storage, and processing that impact company-wide data strategy across Gopuff’s data lakes and data warehouses
Partner with software and analytics engineering teams to establish data contracts to improve data quality at every stage of the data lifecycle
Participate in design and architectural review sessions with data engineers and software engineering partners
Conduct code reviews and knowledge-sharing sessions across data engineering and partner teams
Collaborate with engineering and product leadership to translate business requirements into technical solutions
Partner with engineering teams to model foundational event schemas
Qualifications
8+ years of experience in a data engineering role building end-to-end ETL/ELT pipelines
Experience building batch data pipelines using DAG-based tools such as Dagster or Airflow
Experience developing real-time data pipelines using frameworks such as Apache Beam, Flink, Storm, Spark Streaming, etc.
Experience with data warehouses, data lakes, and their underlying infrastructure
Proficiency in Python, SQL, RESTful API development
Experience with cloud computing platforms such as Azure, AWS
Experience data observability and monitoring tooling such as Monte Carlo, Great Expectations, SodaSQL, Databand, etc.
Experience in producing and consuming topics to/from Apache Kafka, AWS Kinesis, or Azure Event Hubs
Experience with data governance, schema design, and schema evolution
Experience implementing DevOps best practices within the data platform, including solutions for CI/CD, data observability, monitoring, and lineage
Experience with Infrastructure as code tools such as Terraform
Compensation:
Gopuff pays employees based on market pricing and pay may vary depending on your location. The salary range below reflects what we’d reasonably expect to pay candidates. A candidate’s starting pay will be determined based on job-related skills, experience, qualifications, work location, and market conditions. These ranges may be modified in the future. For additional information on this role’s compensation package, please reach out to the designated recruiter for this role.
Remote - Salary Range (varies based on a cost of labor index for geographic area within United States): USD $152,000 - USD $241,500
Benefits
We want to help our employees stay safe and healthy! We offer comprehensive medical, dental, and vision insurance, optional FSAs and HSA plans, 401k, commuter benefits, supplemental employee, spouse and child life insurance to all eligible employees.*

We also offer*:
Gopuff employee discount
Career growth opportunities
Internal rewards programs
Annual performance appraisal and bonus
Equity program
Not applicable for contractors or temporary employees.

At Gopuff, we know that life can be unpredictable. Sometimes you forget the milk at the store, run out of pet food for Fido, or just really need ice cream at 11 pm. We get it—stuff happens. But that’s where we come in, delivering all your wants and needs in just minutes.

And now, we’re assembling a team of motivated people to help us drive forward that vision to bring a new age of convenience and predictability to an unpredictable world.

Like what you’re hearing? Then join us on Team Blue.

Gopuff is an equal employment opportunity employer, committed to an inclusive workplace where we do not discriminate on the basis of race, sex, gender, national origin, religion, sexual orientation, gender identity, marital or familial status, age, ancestry, disability, genetic information, or any other characteristic protected by applicable laws. We believe in diversity and encourage any qualified individual to apply.
Show Less
Report",$1L - $2L (Glassdoor Est.),5001 to 10000 Employees,Company - Private,Transportation & Logistics,Shipping & Trucking,2013,Unknown / Non-Applicable
